	Tweets	Date	Source	Likes	RTs
51	Double tribute to Stan Lee and Steven Hillenburg. #StanLeeForever #StanLee #stevenhillenburg #SpongeBobSquarepants… https://t.co/V9uWufxV1V	2018-11-28 16:35:19	Twitter Lite	5	3
52	With the sad news about Stan Lee passing away, I thought we would have a look back over his cameos and comics with… https://t.co/UQpxXWoJLD	2018-11-28 16:35:13	Libsyn On-Publish	0	0
53	Stan Lee Mural Appears In Los Angeles https://t.co/BurFkGIOiT via @joelmeadows1	2018-11-28 16:34:48	Twitter Web Client	1	0
54	Herh shut up......are you better than anyone who doesn't know Stan Lee ? https://t.co/xaXP9ifc3y	2018-11-28 16:34:37	Twitter for Android	1	0
55	We lost Stan lee and Stephen Hillenburg in the same month may they both rest in peace😞😞😢.	2018-11-28 16:34:14	Twitter for iPhone	0	0
56	Stan Lee didn’t only create heroes... he was one! #WARRIORSWANTED https://t.co/Vwaae7TRXk	2018-11-28 16:33:38	Twitter for iPhone	0	0
57	Sorry for the rushed and shitty tribute but I could do so much before class stared. So this is from my Greco-Mythol… https://t.co/SbGmTMoLj5	2018-11-28 16:33:02	IFTTT	0	0
58	The only time I thought of this was when Stan Lee died. Then I realized that the great man couldn't hear a single w… https://t.co/nk0RRyJW26	2018-11-28 16:31:40	Twitter for Android	0	0
59	@adamkovic When did the big guy come back to them? With the Fox deal? That Stan Lee. Such a brilliant creator!	2018-11-28 16:31:40	Twitter Lite	1	0
60	Bro we really lost two legends in the same month, rip Stephen Hillenburg and Stan Lee 💔	2018-11-28 16:30:13	Twitter for iPhone	2	0
61	Marvel all day long in honor of Stan Lee! 🎈❤️ #HappyBirthdayStanLee https://t.co/yUs3KuF7NG	2018-11-28 16:30:13	Twitter for iPhone	1	0
62	We're back! In this episode, we talk about the Lion King teaser trailer, the death of comic book icon Stan Lee, the… https://t.co/pf6NqkqLiR	2018-11-28 16:30:05	Facebook	0	0
63	Stan Lee and how we all ended up living in the Marvel Universe - https://t.co/joQZBCBWrL https://t.co/PvzyEqeWx9	2018-11-28 16:30:00	TweetDeck	0	0
64	"@yardleyart Maybe they meant ""Stan Lee"" Yardley as a compliment to your impact on Sonic comics?"	2018-11-28 16:29:24	Twitter for Android	0	0
65	"@LHCBMatt michael rooker taking acting lessons from stan lee:

https://t.co/DYN5Y8HAWs"	2018-11-28 16:29:21	Twitter Web Client	1	0
66	Stan Lee cause of death revealed...it’s being said that he died of being old as fuck	2018-11-28 16:27:27	Twitter for iPhone	0	0
